author,project name,url,(1) no project,(2) no wiki/no content,(3) wiki and content
0147500,global.hackathon.git,https://github.com/0147500/global.hackathon.git, ,x, 
0359xiaodong,EnhancedEditText.git,https://github.com/0359xiaodong/EnhancedEditText.git, ,x, 
06051979,gitblit-powertools-plugin.git,https://github.com/06051979/gitblit-powertools-plugin.git, , ,x
0intro,vx32.git,https://github.com/0intro/vx32.git, ,x, 
0x7678,Android-IMSI-Catcher-Detector.git,https://github.com/0x7678/Android-IMSI-Catcher-Detector.git, ,x, 
0x7678,gsm.git,https://github.com/0x7678/gsm.git, ,x, 
0x7678,kali-nethunter.git,https://github.com/0x7678/kali-nethunter.git, ,x, 
0x7678,kalibrate-rtl.git,https://github.com/0x7678/kalibrate-rtl.git, ,x, 
0x7F800000,Aleph-NONE.git,https://github.com/0x7F800000/Aleph-NONE.git, ,x, 
0x7fffffff,GestureImageView.git,https://github.com/0x7fffffff/GestureImageView.git, ,x, 
0xAli,CTF-Challenges.git,https://github.com/0xAli/CTF-Challenges.git, ,x, 
0xiaohui00,freescalesmartcar.git,https://github.com/0xiaohui00/freescalesmartcar.git, ,x, 
0xiaohui00,xiaohui.git,https://github.com/0xiaohui00/xiaohui.git, ,x, 
0zone,MapApi.git,https://github.com/0zone/MapApi.git, ,x, 
